id,odor,gill-attachment,gill-size,stalk-surface-above-ring,population
4372,f,f,b,k,v
4373,f,f,b,k,v
4374,f,f,b,k,y
4375,f,f,b,f,s
4376,n,f,b,s,v
4377,y,f,n,s,v
4378,f,f,b,k,y
4379,f,f,b,k,y
4380,n,f,b,s,v
4381,n,f,b,s,c
4382,f,f,b,k,y
4383,f,f,b,k,y
4384,f,f,b,k,v
4385,f,f,b,k,y
4386,f,f,b,k,y
4387,f,f,b,k,y
4388,f,f,b,k,y
4389,f,f,b,k,v
4390,f,f,b,k,v
4391,f,f,b,k,y
4392,f,f,b,k,y
4393,f,f,b,k,y
4394,f,f,b,k,y
4395,f,f,b,k,v
4396,f,f,b,k,y
4397,n,f,n,s,y
4398,f,f,b,k,v
4399,f,f,b,k,v
4400,f,f,b,k,y
4401,f,f,b,k,v
4402,f,f,b,k,v
4403,f,f,b,k,v
4404,f,f,b,k,y
4405,f,f,b,k,v
4406,f,f,b,k,y
4407,f,f,b,k,v
4408,f,f,b,k,v
4409,f,f,b,k,y
4410,f,f,b,k,y
4411,n,f,b,s,y
4412,f,f,b,s,v
4413,f,f,b,k,v
4414,f,f,b,k,v
4415,f,f,b,k,y
4416,f,f,b,k,y
4417,f,f,b,k,v
4418,n,f,b,s,v
4419,f,f,b,k,y
4420,n,f,b,s,c
4421,f,f,b,k,y
4422,f,f,b,k,y
4423,f,f,b,k,y
4424,f,f,b,k,v
4425,n,f,b,s,y
4426,f,f,b,k,v
4427,f,f,b,k,v
4428,f,f,b,k,v
4429,f,f,b,k,v
4430,y,f,n,k,v
4431,f,f,b,k,v
4432,f,f,b,k,v
4433,f,f,b,k,v
4434,f,f,b,k,v
4435,f,f,b,k,v
4436,f,f,b,k,v
4437,f,f,b,k,v
4438,f,f,b,k,v
4439,c,f,n,s,v
4440,f,f,b,k,y
4441,f,f,b,f,s
4442,f,f,b,k,v
4443,f,f,b,k,y
4444,f,f,b,k,y
4445,n,f,b,s,y
4446,f,f,b,k,y
4447,f,f,b,k,v
4448,f,f,b,k,y
4449,f,f,b,k,y
4450,f,f,b,k,y
4451,f,f,b,k,y
4452,n,f,b,s,v
4453,f,f,b,k,y
4454,f,f,b,k,v
4455,f,f,b,k,v
4456,f,f,b,k,y
4457,f,f,b,k,y
4458,f,f,b,k,y
4459,f,f,b,k,y
4460,n,f,b,s,c
4461,f,f,b,k,y
4462,s,f,n,s,v
4463,f,f,b,k,y
4464,f,f,b,k,y
4465,f,f,b,k,v
4466,f,f,b,k,v
4467,f,f,b,k,y
4468,f,f,b,k,y
4469,f,f,b,k,y
4470,f,f,b,f,v
4471,f,f,b,k,v
4472,f,f,b,k,y
4473,f,f,b,k,y
4474,f,f,b,k,v
4475,f,f,b,k,v
4476,f,f,b,k,y
4477,f,f,b,k,v
4478,f,f,b,k,y
4479,f,f,b,k,y
4480,f,f,b,k,v
4481,n,f,b,s,y
4482,f,f,b,k,v
4483,f,f,b,k,v
4484,f,f,b,k,v
4485,f,f,b,k,v
4486,f,f,b,k,y
4487,f,f,b,k,v
4488,f,f,b,k,v
4489,f,f,b,k,v
4490,f,f,b,k,y
4491,f,f,b,k,y
4492,n,f,n,s,v
4493,f,f,b,k,v
4494,f,f,b,k,y
4495,n,f,n,k,v
4496,f,f,b,k,y
4497,f,f,b,f,v
4498,n,f,b,s,c
4499,y,f,n,s,v
4500,c,f,n,s,v
4501,f,f,b,k,y
4502,f,f,b,k,v
4503,f,f,b,k,y
4504,f,f,b,k,v
4505,f,f,b,k,v
4506,f,f,b,k,y
4507,f,f,b,k,y
4508,f,f,b,k,y
4509,f,f,b,k,y
4510,f,f,b,k,v
4511,f,f,b,k,v
4512,f,f,b,k,y
4513,f,f,b,k,y
4514,f,f,b,k,y
4515,f,f,b,k,v
4516,f,f,b,k,v
4517,f,f,b,k,v
4518,f,f,b,k,v
4519,f,f,b,k,v
4520,n,f,b,s,c
4521,f,f,b,k,v
4522,f,f,b,k,v
4523,s,f,n,s,v
4524,f,f,b,k,y
4525,f,f,b,k,v
4526,f,f,b,k,y
4527,f,f,b,k,y
4528,f,f,b,k,v
4529,f,f,b,k,v
4530,f,f,b,k,y
4531,f,f,b,k,v
4532,f,f,b,k,y
4533,f,f,b,k,y
4534,n,f,n,s,v
4535,n,f,b,s,c
4536,f,f,b,k,y
4537,f,f,b,k,y
4538,f,f,b,k,v
4539,f,f,b,k,y
4540,f,f,b,k,v
4541,f,f,b,k,y
4542,f,f,b,k,v
4543,f,f,b,k,y
4544,f,f,b,k,v
4545,f,f,b,k,v
4546,f,f,b,k,v
4547,f,f,b,k,y
4548,f,f,b,k,v
4549,f,f,b,s,v
4550,n,f,b,s,v
4551,f,f,b,k,y
4552,f,f,b,k,v
4553,f,f,b,k,v
4554,f,f,b,k,v
4555,f,f,b,k,v
4556,f,f,b,k,y
4557,n,f,b,s,v
4558,n,f,n,s,v
4559,f,f,b,k,y
4560,f,f,b,k,v
4561,f,f,b,k,v
4562,f,f,b,k,v
4563,f,f,b,k,y
4564,f,f,b,k,v
4565,f,f,b,k,y
4566,f,f,b,k,v
4567,f,f,b,k,y
4568,f,f,b,k,y
4569,f,f,b,k,v
4570,f,f,b,k,y
4571,n,f,b,s,v
4572,f,f,b,k,y
4573,f,f,b,k,v
4574,f,f,b,k,y
4575,f,f,b,k,v
4576,f,f,b,k,y
4577,f,f,b,k,y
4578,f,f,b,k,v
4579,f,f,b,k,y
4580,f,f,b,k,v
4581,f,f,b,k,y
4582,f,f,b,k,v
4583,f,f,b,k,y
4584,c,f,n,s,v
4585,f,f,b,k,y
4586,f,f,b,k,v
4587,f,f,b,k,v
4588,f,f,b,k,v
4589,f,f,b,k,v
4590,f,f,b,k,v
4591,f,f,b,k,y
4592,f,f,b,k,v
4593,f,f,b,k,v
4594,f,f,b,k,y
4595,f,f,b,k,v
4596,f,f,b,k,v
4597,f,f,b,k,y
4598,f,f,b,k,y
4599,f,f,b,k,v
4600,f,f,b,k,y
4601,f,f,b,k,y
4602,f,f,b,k,v
4603,f,f,b,k,v
4604,f,f,b,k,y
4605,f,f,b,k,v
4606,f,f,b,k,y
4607,f,f,b,k,v
4608,f,f,b,k,y
4609,f,f,b,k,v
4610,f,f,b,k,v
4611,y,f,n,s,v
4612,n,f,b,s,c
4613,f,f,b,k,v
4614,f,f,b,k,y
4615,f,f,b,k,y
4616,f,f,b,k,y
4617,f,f,b,k,v
4618,f,f,b,k,y
4619,f,f,b,k,v
4620,f,f,b,k,v
4621,f,f,b,k,y
4622,f,f,b,k,y
4623,f,f,b,k,v
4624,f,f,b,k,y
4625,f,f,b,k,y
4626,f,f,b,k,v
4627,f,f,b,k,v
4628,f,f,b,k,v
4629,c,f,n,s,s
4630,f,f,b,f,v
4631,n,f,b,s,v
4632,f,f,b,k,v
4633,f,f,b,k,y
4634,f,f,b,k,v
4635,n,f,b,s,v
4636,f,f,b,k,y
4637,f,f,b,k,v
4638,f,f,b,k,y
4639,f,f,b,k,v
4640,f,f,b,k,y
4641,f,f,b,k,v
4642,f,f,b,s,s
4643,f,f,b,k,v
4644,f,f,b,k,v
4645,f,f,b,k,y
4646,f,f,b,k,v
4647,f,f,b,k,v
4648,n,f,n,s,v
4649,f,f,b,k,y
4650,f,f,b,k,v
4651,f,f,b,k,y
4652,f,f,b,k,y
4653,n,f,b,s,y
4654,f,f,b,k,v
4655,f,f,b,k,y
4656,f,f,b,k,y
4657,f,f,b,k,y
4658,f,f,b,k,v
4659,f,f,b,k,v
4660,f,f,b,k,v
4661,f,f,b,k,v
4662,f,f,b,f,s
4663,n,f,b,s,c
4664,n,f,n,s,y
4665,f,f,b,k,v
4666,f,f,b,k,y
4667,f,f,b,k,y
4668,f,f,b,k,y
4669,f,f,b,k,y
4670,f,f,b,k,y
4671,f,f,b,k,y
4672,f,f,b,k,y
4673,f,f,b,k,y
4674,n,f,b,s,c
4675,f,f,b,k,y
4676,f,f,b,k,y
4677,f,f,b,k,y
4678,f,f,b,k,v
4679,f,f,b,k,y
4680,f,f,b,k,y
4681,f,f,b,k,y
4682,f,f,b,k,y
4683,f,f,b,k,y
4684,f,f,b,k,y
4685,f,f,b,k,y
4686,f,f,b,k,y
4687,f,f,b,k,v
4688,f,f,b,k,v
4689,f,f,b,k,y
4690,f,f,b,k,v
4691,f,f,b,k,y
4692,f,f,b,k,v
4693,f,f,b,k,y
4694,f,f,b,k,y
4695,f,f,b,k,v
4696,f,f,b,k,v
4697,n,f,b,s,y
4698,f,f,b,k,y
4699,f,f,b,k,y
4700,f,f,b,f,s
4701,f,f,b,k,v
4702,f,f,b,k,v
4703,c,f,n,s,s
4704,f,f,b,k,y
4705,f,f,b,f,s
4706,f,f,b,k,y
4707,f,f,b,k,y
4708,f,f,b,k,y
4709,n,f,b,s,v
4710,f,f,b,f,v
4711,f,f,b,k,v
4712,f,f,b,k,y
4713,f,f,b,k,v
4714,f,f,b,k,y
4715,f,f,b,k,v
4716,f,f,b,k,y
4717,f,f,b,k,v
4718,n,f,n,s,v
4719,f,f,b,k,y
4720,n,f,b,s,v
4721,f,f,b,k,y
4722,f,f,b,k,v
4723,f,f,n,k,v
4724,f,f,b,k,y
4725,f,f,b,k,y
4726,f,f,b,k,y
4727,f,f,b,k,v
4728,f,f,b,k,y
4729,f,f,b,k,y
4730,f,f,b,k,y
4731,f,f,b,k,v
4732,f,f,b,k,y
4733,n,f,b,s,y
4734,f,f,b,k,v
4735,n,f,b,s,y
4736,f,f,b,k,y
4737,f,f,b,k,y
4738,f,f,b,k,y
4739,f,f,b,k,y
4740,f,f,b,k,v
4741,f,f,b,k,v
4742,f,f,b,k,y
4743,f,f,b,k,y
4744,f,f,b,k,v
4745,f,f,b,k,y
4746,f,f,b,k,v
4747,f,f,b,k,y
4748,f,f,b,k,y
4749,f,f,b,k,v
4750,c,f,n,s,s
4751,f,f,b,k,v
4752,f,f,b,k,v
4753,f,f,b,k,y
4754,f,f,b,k,v
4755,f,f,b,k,v
4756,f,f,b,k,y
4757,f,f,b,k,v
4758,f,f,b,k,v
4759,f,f,b,k,v
4760,f,f,b,k,y
4761,f,f,b,k,y
4762,f,f,b,k,v
4763,f,f,b,k,y
4764,f,f,b,k,v
4765,f,f,b,k,y
4766,f,f,b,k,v
4767,f,f,b,k,y
4768,f,f,b,k,y
4769,f,f,b,k,v
4770,f,f,b,k,v
4771,f,f,b,k,v
4772,f,f,b,k,y
4773,f,f,b,k,v
4774,f,f,b,k,v
4775,f,f,b,k,v
4776,f,f,b,k,y
4777,f,f,b,k,v
4778,n,f,b,s,c
4779,f,f,b,k,v
4780,c,f,n,s,v
4781,f,f,b,k,y
4782,f,f,b,k,y
4783,f,f,b,k,y
4784,n,f,b,s,y
4785,f,f,b,k,v
4786,f,f,b,k,y
4787,f,f,b,k,v
4788,f,f,b,k,y
4789,n,f,b,s,v
4790,f,f,b,k,y
4791,f,f,b,k,v
4792,f,f,b,k,v
4793,f,f,b,k,y
4794,f,f,b,k,y
4795,f,f,b,k,v
4796,f,f,b,k,v
4797,f,f,b,k,y
4798,f,f,b,k,y
4799,f,f,b,k,y
4800,n,f,b,s,y
4801,f,f,b,f,s
4802,f,f,n,s,v
4803,f,f,b,s,v
4804,f,f,b,k,y
4805,f,f,b,k,v
4806,f,f,b,k,v
4807,n,f,b,s,c
4808,f,f,b,k,v
4809,f,f,b,k,v
4810,f,f,b,k,y
4811,f,f,b,k,y
4812,f,f,b,k,y
4813,n,f,b,s,c
4814,f,f,b,k,v
4815,n,f,n,k,v
4816,f,f,b,k,v
4817,f,f,b,k,v
4818,s,f,n,s,v
4819,f,f,b,k,v
4820,f,f,b,k,y
4821,f,f,b,f,v
4822,f,f,b,k,v
4823,f,f,b,k,y
4824,f,f,b,k,y
4825,n,f,b,s,c
4826,f,f,b,k,v
4827,n,f,n,k,v
4828,f,f,b,k,v
4829,f,f,b,f,s
4830,f,f,b,k,v
4831,f,f,b,k,v
4832,n,f,b,s,c
4833,f,f,b,k,v
4834,f,f,b,k,v
4835,n,f,n,f,v
4836,c,f,n,s,v
4837,f,f,b,k,y
4838,f,f,b,k,v
4839,f,f,b,k,y
4840,f,f,b,k,v
4841,n,f,b,s,v
4842,f,f,b,f,v
4843,n,f,b,s,y
4844,n,f,b,s,v
4845,n,f,b,s,c
4846,f,f,b,f,v
4847,n,f,b,s,c
4848,f,f,b,k,y
4849,f,f,b,f,v
4850,f,f,b,k,v
4851,f,f,b,k,v
4852,f,f,b,k,v
4853,f,f,b,k,y
4854,f,f,b,k,v
4855,f,f,b,k,y
4856,f,f,b,k,y
4857,f,f,b,k,y
4858,f,f,b,k,v
4859,n,f,b,s,c
4860,n,f,b,s,c
4861,n,f,b,s,c
4862,f,f,b,k,v
4863,n,f,b,s,v
4864,f,f,b,k,y
4865,f,f,b,k,y
4866,f,f,b,f,v
4867,f,f,b,k,v
4868,f,f,b,k,y
4869,f,f,b,k,v
4870,f,f,n,k,v
4871,f,f,b,k,v
4872,n,f,b,s,c
4873,n,f,b,s,v
4874,f,f,b,k,y
4875,f,f,b,k,v
4876,f,f,b,k,y
4877,n,f,b,s,v
4878,f,f,b,k,v
4879,f,f,b,k,y
4880,f,f,b,k,v
4881,f,f,b,k,y
4882,f,f,b,k,v
4883,n,f,b,s,v
4884,f,f,b,k,y
4885,f,f,n,k,v
4886,f,f,b,k,y
4887,f,f,b,k,v
4888,f,f,b,k,y
4889,n,f,b,s,c
4890,f,f,b,s,s
4891,f,f,b,k,y
4892,f,f,b,k,v
4893,f,f,b,k,v
4894,f,f,b,f,s
4895,c,f,n,s,v
4896,f,f,b,k,y
4897,f,f,b,k,y
4898,f,f,b,k,y
4899,n,f,n,s,y
4900,n,f,n,s,v
4901,f,f,b,k,v
4902,f,f,b,k,y
4903,f,f,b,k,y
4904,y,f,n,k,v
4905,y,f,n,k,v
4906,f,f,b,k,y
4907,f,f,b,k,v
4908,f,f,b,k,y
4909,f,f,b,k,y
4910,f,f,b,k,v
4911,f,f,b,k,y
4912,n,f,b,s,c
4913,f,f,b,k,y
4914,f,f,b,k,y
4915,f,f,b,f,s
4916,f,f,b,k,v
4917,f,f,b,k,y
4918,f,f,b,k,y
4919,f,f,b,f,v
4920,f,f,b,k,y
4921,f,f,b,k,v
4922,c,f,n,s,v
4923,f,f,b,k,y
4924,n,f,b,s,y
4925,f,f,b,k,y
4926,f,f,b,k,y
4927,n,f,b,s,c
4928,f,f,b,k,v
4929,f,f,b,k,v
4930,f,f,b,k,y
4931,n,f,n,s,v
4932,n,f,b,s,c
4933,f,f,b,k,v
4934,f,f,b,k,v
4935,f,f,b,f,v
4936,f,f,b,k,y
4937,f,f,b,k,v
4938,f,f,b,k,v
4939,s,f,n,s,v
4940,n,f,b,s,c
4941,f,f,b,k,y
4942,f,f,b,k,v
4943,f,f,b,k,y
4944,f,f,b,k,v
4945,f,f,b,k,v
4946,n,f,b,s,c
4947,n,f,n,k,v
4948,f,f,b,k,y
4949,f,f,b,k,y
4950,f,f,b,k,v
4951,f,f,b,f,v
4952,n,f,b,s,c
4953,f,f,b,f,s
4954,f,f,b,k,y
4955,f,f,b,k,v
4956,f,f,b,k,v
4957,f,f,b,k,y
4958,f,f,b,k,v
4959,f,f,b,s,v
4960,f,f,b,k,y
4961,f,f,b,k,y
4962,f,f,b,k,y
4963,f,f,b,k,y
4964,f,f,b,s,s
4965,n,f,b,s,c
4966,n,f,b,s,c
4967,n,f,b,s,c
4968,n,f,b,s,v
4969,f,f,b,k,v
4970,f,f,b,k,v
4971,f,f,b,k,v
4972,f,f,b,k,y
4973,f,f,b,k,y
4974,f,f,b,k,v
4975,f,f,b,k,y
4976,f,f,b,k,v
4977,f,f,b,k,v
4978,f,f,b,k,y
4979,f,f,b,k,v
4980,f,f,b,k,y
4981,f,f,b,k,v
4982,f,f,b,k,y
4983,f,f,b,k,v
4984,f,f,b,k,y
4985,n,f,n,s,y
4986,f,f,b,k,v
4987,y,f,n,s,v
4988,f,f,b,k,v
4989,f,f,b,k,y
4990,f,f,b,k,v
4991,f,f,b,k,v
4992,f,f,b,k,y
4993,f,f,b,k,v
4994,n,f,b,s,c
4995,f,f,b,k,y
4996,f,f,b,k,v
4997,n,f,b,s,c
4998,f,f,b,k,y
4999,f,f,b,k,v
5000,f,f,n,k,v
5001,f,f,b,k,v
5002,n,f,n,k,v
5003,n,f,b,s,v
5004,f,f,b,k,v
5005,f,f,b,k,y
5006,n,f,n,s,y
5007,f,f,b,k,v
5008,f,f,b,k,y
5009,f,f,b,k,y
5010,f,f,b,k,y
5011,n,f,b,s,c
5012,f,f,b,k,v
5013,f,f,b,k,v
5014,f,f,b,k,v
5015,f,f,b,k,v
5016,n,f,b,s,c
5017,f,f,b,k,y
5018,f,f,b,k,v
5019,f,f,b,k,v
5020,f,f,b,k,v
5021,f,f,b,s,v
5022,c,f,n,s,v
5023,f,f,b,k,y
5024,n,f,n,s,v
5025,f,f,b,k,y
5026,f,f,b,k,y
5027,f,f,b,k,v
5028,f,f,b,k,v
5029,f,f,b,f,s
5030,f,f,b,k,y
5031,f,f,b,k,y
5032,f,f,b,k,y
5033,f,f,b,k,v
5034,f,f,b,k,v
5035,f,f,b,k,y
5036,f,f,b,k,y
5037,f,f,b,k,y
5038,f,f,b,k,v
5039,f,f,b,k,y
5040,f,f,b,k,y
5041,f,f,b,k,v
5042,s,f,n,k,v
5043,f,f,b,k,y
5044,f,f,b,k,v
5045,f,f,b,f,v
5046,f,f,b,k,v
5047,f,f,b,k,y
5048,f,f,b,k,y
5049,f,f,b,k,v
5050,f,f,b,k,y
5051,f,f,b,k,v
5052,y,f,n,k,v
5053,n,f,b,s,c
5054,n,f,b,s,c
5055,f,f,b,k,y
5056,f,f,b,k,y
5057,f,f,b,k,y
5058,f,f,b,k,y
5059,f,f,b,s,s
5060,f,f,b,k,v
5061,f,f,b,f,s
5062,f,f,b,k,v
5063,f,f,b,k,y
5064,f,f,b,s,s
5065,f,f,b,f,s
5066,f,f,b,f,s
5067,f,f,b,k,y
5068,f,f,b,k,y
5069,f,f,b,k,v
5070,f,f,b,k,v
5071,n,f,n,s,y
5072,n,f,b,s,c
5073,f,f,b,k,v
5074,f,f,b,k,v
5075,y,f,n,k,v
5076,f,f,b,k,v
5077,f,f,b,k,y
5078,f,f,b,k,v
5079,f,f,b,k,y
5080,n,f,b,s,y
5081,f,f,b,k,y
5082,f,f,b,k,v
5083,f,f,b,k,v
5084,f,f,b,k,y
5085,f,f,b,k,y
5086,n,f,n,k,v
5087,f,f,b,k,y
5088,n,f,n,f,v
5089,f,f,b,k,v
5090,f,f,b,k,y
5091,f,f,b,k,v
5092,f,f,b,k,v
5093,f,f,b,k,v
5094,f,f,b,k,v
5095,f,f,b,k,y
5096,f,f,b,k,v
5097,f,f,b,k,y
5098,n,f,b,s,v
5099,n,f,b,s,c
5100,f,f,b,k,v
5101,f,f,b,k,v
5102,n,f,b,s,c
5103,f,f,b,k,y
5104,f,f,b,s,s
5105,s,f,n,k,v
5106,y,f,n,s,v
5107,y,f,n,k,v
5108,n,f,n,s,c
5109,f,f,b,f,v
5110,n,f,n,f,v
5111,f,f,b,k,y
5112,f,f,b,k,v
5113,f,f,b,k,y
5114,n,f,b,s,c
5115,f,f,b,f,v
5116,f,f,b,s,s
5117,y,f,n,k,v
5118,n,f,n,s,v
5119,f,f,b,s,s
5120,f,f,b,s,v
5121,f,f,b,s,v
5122,f,f,b,s,v
5123,n,f,n,f,v
5124,f,f,b,k,v
5125,f,f,b,f,v
5126,f,f,b,s,s
5127,n,f,n,s,c
5128,f,f,b,s,s
5129,n,f,n,s,c
5130,f,f,b,s,v
5131,f,f,b,f,s
5132,n,f,n,k,v
5133,s,f,n,s,v
5134,y,f,n,k,v
5135,n,f,b,s,c
5136,n,f,b,s,c
5137,f,f,b,s,v
5138,n,f,b,s,v
5139,f,f,b,k,y
5140,f,f,b,k,y
5141,n,f,b,s,v
5142,f,f,n,k,v
5143,y,f,n,k,v
5144,f,f,b,k,y
5145,n,f,b,s,c
5146,f,f,n,k,v
5147,f,f,b,k,y
5148,y,f,n,k,v
5149,n,f,n,s,v
5150,f,f,n,s,v
5151,n,f,b,s,c
5152,n,f,b,s,c
5153,f,f,b,k,y
5154,n,f,b,s,v
5155,n,f,n,k,v
5156,y,f,n,s,v
5157,f,f,b,s,s
5158,f,f,b,f,v
5159,f,f,b,k,y
5160,f,f,b,s,v
5161,f,f,n,s,v
5162,f,f,b,f,v
5163,n,f,n,k,v
5164,n,f,b,s,c
5165,f,f,b,f,s
5166,f,f,b,f,s
5167,n,f,b,s,c
5168,f,f,b,k,y
5169,n,f,n,k,v
5170,n,f,b,s,c
5171,f,f,b,k,y
5172,f,f,b,f,v
5173,f,f,b,f,s
5174,f,f,b,k,v
5175,f,f,b,k,v
5176,n,f,b,s,c
5177,n,f,b,s,c
5178,n,f,b,s,v
5179,n,f,n,f,v
5180,n,f,b,s,c
5181,f,f,b,f,v
5182,f,f,b,f,v
5183,f,f,b,k,y
5184,f,f,b,f,v
5185,f,f,b,s,s
5186,n,f,n,s,v
5187,y,f,n,k,v
5188,f,f,b,k,y
5189,n,f,n,s,v
5190,f,f,b,k,v
5191,n,f,b,s,v
5192,f,f,b,f,v
5193,s,f,n,s,v
5194,n,f,b,s,c
5195,f,f,n,k,v
5196,f,f,b,k,v
5197,f,f,b,f,s
5198,n,f,b,s,c
5199,f,f,b,k,v
5200,f,f,b,k,v
5201,f,f,b,k,y
5202,f,f,b,s,s
5203,f,f,n,s,v
5204,f,f,b,k,v
5205,f,f,b,k,v
5206,n,f,n,k,v
5207,n,f,b,s,c
5208,f,f,b,k,v
5209,y,f,n,k,v
5210,f,f,b,f,s
5211,n,f,b,s,c
5212,f,f,b,k,v
5213,y,f,n,s,v
5214,f,f,b,s,v
5215,f,f,b,f,v
5216,n,f,b,s,v
5217,n,f,b,s,c
5218,f,f,b,s,v
5219,y,f,n,s,v
5220,n,f,b,s,c
5221,f,f,b,k,y
5222,n,f,b,s,c
5223,f,f,b,f,s
5224,n,f,b,s,c
5225,n,f,n,k,v
5226,f,f,b,f,v
5227,f,f,n,k,v
5228,f,f,n,k,v
5229,f,f,b,s,s
5230,f,f,n,s,v
5231,n,f,b,s,c
5232,n,f,n,f,v
5233,f,f,b,k,v
5234,n,f,b,s,c
5235,f,f,b,k,y
5236,f,f,b,k,v
5237,f,f,b,s,v
5238,n,f,n,s,c
5239,n,f,n,f,v
5240,n,f,n,k,v
5241,f,f,b,f,s
5242,n,f,n,k,v
5243,f,f,b,k,v
5244,n,f,b,s,c
5245,f,f,b,k,v
5246,y,f,n,s,v
5247,f,f,b,k,y
5248,f,f,b,k,v
5249,n,f,b,s,v
5250,f,f,b,k,y
5251,f,f,b,s,v
5252,f,f,b,s,v
5253,n,f,b,s,c
5254,f,f,b,k,v
5255,f,f,b,f,s
5256,n,f,b,s,v
5257,f,f,b,s,v
5258,n,f,b,s,c
5259,f,f,b,f,s
5260,n,f,n,k,v
5261,f,f,b,s,v
5262,f,f,b,k,y
5263,n,f,n,k,v
5264,f,f,b,s,s
5265,n,f,b,s,c
5266,f,f,n,s,v
5267,y,f,n,s,v
5268,y,f,n,s,v
5269,f,f,b,f,v
5270,n,f,b,s,c
5271,f,f,b,k,y
5272,n,f,b,s,c
5273,f,f,b,f,s
5274,n,f,n,s,v
5275,s,f,n,k,v
5276,f,f,b,f,v
5277,f,f,b,s,v
5278,n,f,n,k,v
5279,n,f,b,s,v
5280,f,f,b,k,y
5281,n,f,b,s,c
5282,n,f,n,s,c
5283,f,f,b,f,v
5284,n,f,n,s,y
5285,n,f,n,s,v
5286,n,f,b,s,c
5287,f,f,b,s,v
5288,y,f,n,s,v
5289,f,f,b,k,y
5290,f,f,b,s,s
5291,f,f,b,s,s
5292,n,f,b,s,c
5293,y,f,n,k,v
5294,f,f,b,k,y
5295,f,f,b,k,y
5296,n,f,b,s,c
5297,f,f,b,f,s
5298,s,f,n,s,v
5299,f,f,b,s,s
5300,n,f,n,s,v
5301,f,f,b,f,v
5302,f,f,b,k,v
5303,n,f,n,s,y
5304,f,f,b,k,v
5305,f,f,n,s,v
5306,s,f,n,s,v
5307,n,f,b,s,c
5308,f,f,b,s,v
5309,n,f,b,s,c
5310,n,f,b,s,c
5311,f,f,n,s,v
5312,n,f,n,k,v
5313,s,f,n,s,v
5314,n,f,b,s,c
5315,f,f,b,f,v
5316,f,f,b,k,v
5317,n,f,b,s,c
5318,n,f,b,s,v
5319,n,f,n,s,v
5320,f,f,b,k,v
5321,f,f,b,f,s
5322,s,f,n,s,v
5323,f,f,b,s,s
5324,f,f,b,s,s
5325,f,f,n,k,v
5326,n,f,n,s,v
5327,s,f,n,k,v
5328,f,f,b,k,v
5329,y,f,n,k,v
5330,f,f,b,s,v
5331,f,f,b,k,v
5332,f,f,b,s,s
5333,n,f,n,k,v
5334,f,f,b,s,v
5335,f,f,b,f,v
5336,n,f,n,f,v
5337,f,f,b,s,v
5338,s,f,n,k,v
5339,n,f,b,s,v
5340,f,f,b,k,y
5341,n,f,b,s,c
5342,n,f,b,s,v
5343,n,f,n,k,v
5344,f,f,b,k,y
5345,n,f,n,f,v
5346,n,f,n,f,v
5347,y,f,n,s,v
5348,f,f,b,f,v
5349,f,f,b,f,s
5350,f,f,b,s,v
5351,f,f,b,f,s
5352,n,f,n,s,v
5353,f,f,b,k,y
5354,f,f,b,f,s
5355,f,f,n,s,v
5356,f,f,b,k,y
5357,f,f,b,f,v
5358,f,f,b,f,s
5359,f,f,b,k,y
5360,f,f,b,k,y
5361,f,f,n,s,v
5362,n,f,n,k,v
5363,n,f,b,s,c
5364,f,f,b,k,y
5365,f,f,b,s,s
5366,y,f,n,k,v
5367,f,f,b,k,v
5368,f,f,b,k,y
5369,f,f,b,s,s
5370,n,f,b,s,v
5371,f,f,b,k,y
5372,n,f,b,s,c
5373,f,f,b,s,s
5374,f,f,b,f,s
5375,f,f,b,f,s
5376,f,f,n,s,v
5377,n,f,b,s,v
5378,f,f,b,f,s
5379,n,f,b,s,c
5380,s,f,n,s,v
5381,f,f,b,k,v
5382,f,f,b,s,v
5383,n,f,b,s,c
5384,f,f,b,f,v
5385,n,f,n,f,v
5386,n,f,b,s,c
5387,n,f,n,f,v
5388,n,f,b,s,c
5389,f,f,b,s,v
5390,n,f,b,s,c
5391,n,f,b,s,c
5392,f,f,b,s,v
5393,n,f,b,s,c
5394,f,f,b,f,v
5395,n,f,n,k,v
5396,f,f,b,s,s
5397,f,f,b,k,v
5398,f,f,b,k,y
5399,n,f,n,k,v
5400,f,f,b,k,y
5401,f,f,b,k,v
5402,n,f,n,s,v
5403,y,f,n,k,v
5404,f,f,b,s,s
5405,f,f,n,k,v
5406,n,f,b,s,v
5407,f,f,b,k,y
5408,f,f,b,s,s
5409,f,f,b,k,v
5410,f,f,b,f,s
5411,f,f,b,s,s
5412,y,f,n,k,v
5413,f,f,b,k,v
5414,n,f,b,s,c
5415,f,f,b,k,v
5416,n,f,b,s,c
5417,n,f,b,s,c
5418,n,f,b,s,c
5419,f,f,b,f,v
5420,f,f,b,k,v
5421,n,f,b,s,c
5422,n,f,b,s,c
5423,f,f,b,k,v
5424,n,f,b,s,v
5425,f,f,b,s,s
5426,f,f,b,f,s
5427,f,f,b,s,s
5428,f,f,b,k,y
5429,f,f,b,s,s
5430,f,f,b,f,s
5431,n,f,n,s,y
5432,f,f,b,k,v
5433,f,f,n,s,v
5434,f,f,b,f,s
5435,n,f,n,f,v
5436,f,f,b,f,v
5437,n,f,n,s,y
5438,f,f,b,k,v
5439,f,f,b,k,v
5440,n,f,b,s,v
5441,y,f,n,k,v
5442,s,f,n,k,v
5443,f,f,b,k,v
5444,n,f,b,s,c
5445,f,f,b,f,s
